Name,Route table ID,Destination,Target,Status,Propagated,Virtual Private Gateway
–,rtb-0f8a46bdfa08b1ff2,10.65.150.0/23,local,Active,No,
DefaultRouteTable_default,rtb-1f06d77a,172.31.0.0/16,local,Active,No,
DefaultRouteTable_default,rtb-1f06d77a,0.0.0.0/0,igw-6b97600e,Active,No,
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.10.24.0/26,tgw-09bee705ee37e8cb8,Active,No,
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.161.40.0/26,tgw-09bee705ee37e8cb8,Active,No,
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.10.23.0/24,tgw-09bee705ee37e8cb8,Active,No,
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.73.12.0/23,tgw-09bee705ee37e8cb8,Active,No,
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.64.0.0/20,local,Active,No,
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,0.0.0.0/0,tgw-09bee705ee37e8cb8,Active,No,
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.235.192/27,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.238.0/27,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.10.25.0/26,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.65.205.0/26,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.73.8.0/26,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.235.128/26,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.232.0/25,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.233.0/25,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.234.0/25,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.234.128/25,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.235.0/25,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,192.168.6.0/24,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.64.34.0/24,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.73.14.0/24,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.73.24.0/24,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.240.0/24,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.64.68.0/23,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.64.92.0/23,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.73.12.0/23,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.128.0/23,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.136.0/23,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.168.0/23,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.236.0/23,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.64.16.0/22,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.64.44.0/22,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.64.48.0/22,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.64.80.0/22,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.64.84.0/22,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.65.0.0/22,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.65.76.0/22,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.72.96.0/22,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.72.100.0/22,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.73.4.0/22,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.73.48.0/22,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.73.52.0/22,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.140.0/22,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.144.0/22,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.64.72.0/21,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.64.88.0/21,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.72.104.0/21,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.72.160.0/21,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.72.168.0/21,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.73.16.0/21,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,192.168.48.0/20,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.74.0.0/17,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.64.0.0/16,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.65.0.0/16,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.66.0.0/16,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.70.0.0/16,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.72.0.0/16,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.75.0.0/16,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.182.0.0/16,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.76.0.0/14,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,172.16.0.0/12,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.80.0.0/12,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.96.0.0/11,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.0.0.0/10,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.128.0.0/9,vgw-5693ad22,Active,Yes,vgw-5693ad22 
RTB_VPC_STREAMING_PRI_A,rtb-c5f491bc,10.0.0.0/8,vgw-5693ad22,Active,Yes,vgw-5693ad22 
PrivateRouteTableA_VERI,rtb-0d7e4268,10.161.40.0/26,tgw-09bee705ee37e8cb8,Active,No,
PrivateRouteTableA_VERI,rtb-0d7e4268,192.168.6.0/24,tgw-09bee705ee37e8cb8,Active,No,
PrivateRouteTableA_VERI,rtb-0d7e4268,10.72.16.0/20,local,Active,No,
PrivateRouteTableA_VERI,rtb-0d7e4268,172.16.0.0/12,tgw-09bee705ee37e8cb8,Active,No,
PrivateRouteTableA_VERI,rtb-0d7e4268,10.0.0.0/8,tgw-09bee705ee37e8cb8,Active,No,
PrivateRouteTableA_VERI,rtb-0d7e4268,0.0.0.0/0,tgw-09bee705ee37e8cb8,Active,No,
RTB_VPC_STREAMING_PRI_C,rtb-bde98cc4,10.10.24.0/26,tgw-09bee705ee37e8cb8,Active,No,
RTB_VPC_STREAMING_PRI_C,rtb-bde98cc4,10.161.40.0/26,tgw-09bee705ee37e8cb8,Active,No,
RTB_VPC_STREAMING_PRI_C,rtb-bde98cc4,10.10.23.0/24,tgw-09bee705ee37e8cb8,Active,No,
RTB_VPC_STREAMING_PRI_C,rtb-bde98cc4,10.73.12.0/23,tgw-09bee705ee37e8cb8,Active,No,
RTB_VPC_STREAMING_PRI_C,rtb-bde98cc4,10.64.0.0/20,local,Active,No,
RTB_VPC_STREAMING_PRI_C,rtb-bde98cc4,0.0.0.0/0,tgw-09bee705ee37e8cb8,Active,No,
RTB_VPC_STREAMING_PRI_C,rtb-bde98cc4,10.74.235.192/27,vgw-5693ad22,Active,Yes,vgw-5693ad22
RTB_VPC_STREAMING_PRI_C,rtb-bde98cc4,10.74.238.0/27,vgw-5693ad22,Active,Yes,vgw-5693ad22
